category,product_name,manufacturing_cost,rating,rating_count,discount_percentage,price_to_cost_ratio,margin_percentage
Smartwatches,Premium Smartwatch X1,2500,4.6,350,12,2.8,65
Smartwatches,Budget Fitness Tracker S2,800,3.9,120,18,3.2,45
Mobile Accessories,Wireless Earbuds Pro,600,4.3,290,15,3.5,60
Mobile Accessories,Fast Charging Adapter,150,4.1,180,8,4.0,55
Audio,Noise Cancelling Headphones,1200,4.7,210,10,3.2,70
Audio,Portable Bluetooth Speaker,450,4.0,95,20,2.9,50
Computers,Ultrabook Pro 13,15000,4.5,85,5,1.8,45
Computers,Gaming Mouse RGB,300,4.2,320,15,3.6,55
Kitchen Appliances,Smart Coffee Maker,950,4.3,110,12,2.5,60
Home Entertainment,4K Smart TV 55",12000,4.4,78,8,1.9,47
Cameras,Action Camera Ultra HD,3500,4.6,65,10,2.2,55
Home Office,Ergonomic Office Chair,2200,4.0,45,15,2.4,58
Climate Control,Smart Air Purifier,1800,4.2,32,8,2.1,53
Home Improvement,Cordless Power Drill,1100,4.3,120,12,2.6,62 